symbol,price,likes,market_cap,volume_cap,date
TRU,0.325192,5859,80638397,24028409,2021-05-16 18:08:12.796463
RENBTC,44.44,1890,532099140,5170742,2021-05-16 18:08:12.796463
THETA,8.86,75652,8884415719,362909099,2021-05-16 18:08:12.796463
FLM,0.734669,6721,36480853,-1,2021-05-16 18:08:12.796463
BAR,28.63,2133,84572198,28903563,2021-05-16 18:08:12.796463
OXT,0.556648,15720,328815420,79619280,2021-05-16 18:08:12.796463
DOCK,0.08808376,5464,49265657,8086458,2021-05-16 18:08:12.796463
WBTC,44.317,6804,7802666221,548195602,2021-05-16 18:08:12.796463
BTC,44.247,480222,832501749773,62814204476,2021-05-16 18:08:12.796463
BTCB,44.91,-1,11523200,44432,2021-05-16 18:08:12.796463
CREAM,122.79,10297,88739011,6809583,2021-05-16 18:08:12.796463
AVA,4.34,14394,226535436,17776778,2021-05-16 18:08:12.796463
ARNX,0.00297525,1643,540375,22285,2021-05-16 18:08:12.796463
CELR,0.05080732,15748,288060631,126356311,2021-05-16 18:08:12.796463
TRX,0.115855,112324,8308189349,4024108530,2021-05-16 18:08:12.796463
NKN,0.559183,8610,363143983,165905837,2021-05-16 18:08:12.796463
FUN,0.03060485,11192,314816746,8946541,2021-05-16 18:08:12.796463
DATA,0.139489,7145,97468069,81618310,2021-05-16 18:08:12.796463
KAVA,4.77,23833,335032110,54533831,2021-05-16 18:08:12.796463
GRS,1.06,3166,83188590,2955138,2021-05-16 18:08:12.796463
SUN,27.85,3331,208715074,-1,2021-05-16 18:08:12.796463
AGI,0.331125,15433,321217597,7020963,2021-05-16 18:08:12.796463
ZRX,1.49,37128,1255971849,253754907,2021-05-16 18:08:12.796463
FET,0.43785,19544,300292392,76796671,2021-05-16 18:08:12.796463
DEGO,10.8,9588,58842592,35963321,2021-05-16 18:08:12.796463
VGX,3.25,17920,710399785,7875475,2021-05-16 18:08:12.796463
TLM,0.328129,20745,407433568,65119362,2021-05-16 18:08:12.796463
ADX,0.98593,4058,118580948,1061757,2021-05-16 18:08:12.796463
WAN,1.51,11187,266596085,14664032,2021-05-16 18:08:12.796463
OST,0.0302738,2430,20940063,877885,2021-05-16 18:08:12.796463
FIO,0.265282,4216,63027495,9596009,2021-05-16 18:08:12.796463
REN,0.722921,50725,637535756,94203342,2021-05-16 18:08:12.796463
POWR,0.363865,9378,157259614,4200134,2021-05-16 18:08:12.796463
AUTO,-1.0,11800,64212696,8877291,2021-05-16 18:08:12.796463
BTT,0.00565494,83046,3723214722,1283828624,2021-05-16 18:08:12.796463
RSR,0.06567039,50610,873524592,107430120,2021-05-16 18:08:12.796463
VIBE,0.0195527,2530,3658930,45445,2021-05-16 18:08:12.796463
STORJ,1.53,15050,221484236,77518774,2021-05-16 18:08:12.796463
ANT,7.27,10372,255902099,53441593,2021-05-16 18:08:12.796463
ORN,11.11,23220,281979945,15562676,2021-05-16 18:08:12.796463
BRD,0.276653,2213,22565754,984777,2021-05-16 18:08:12.796463
ELF,0.332833,5022,153397749,25823874,2021-05-16 18:08:12.796463
POLY,0.311805,8016,259776616,4378617,2021-05-16 18:08:12.796463
COCOS,0.834073,6011,34747871,3346514,2021-05-16 18:08:12.796463
NAS,0.829828,2897,37745787,9785535,2021-05-16 18:08:12.796463
SKY,2.34,3796,46839796,1164435,2021-05-16 18:08:12.796463
BZRX,0.639406,11242,89866458,18495520,2021-05-16 18:08:12.796463
GLM,0.373418,14036,373411097,3241695,2021-05-16 18:08:12.796463
FIS,2.23,7812,59938637,11215166,2021-05-16 18:08:12.796463
APPC,0.145228,2390,16377405,421193,2021-05-16 18:08:12.796463
EGLD,146.65,56337,2596590391,136282306,2021-05-16 18:08:12.796463
REP,32.07,14113,206967539,38849470,2021-05-16 18:08:12.796463
STEEM,0.795348,13207,305370382,5645679,2021-05-16 18:08:12.796463
MTL,2.99,5734,193651340,23280815,2021-05-16 18:08:12.796463
HEGIC,0.147579,9973,74910918,3761136,2021-05-16 18:08:12.796463
BAND,13.17,43519,443870327,121331467,2021-05-16 18:08:12.796463
XEM,0.287054,39648,2577998236,168276240,2021-05-16 18:08:12.796463
YOYOW,0.02874171,1532,5021029,1391616,2021-05-16 18:08:12.796463
AUDIO,1.64,22958,252218446,15317247,2021-05-16 18:08:12.796463
OM,0.274096,16549,81907760,28542486,2021-05-16 18:08:12.796463
CFX,0.688444,3503,573671215,9896481,2021-05-16 18:08:12.796463
DF,0.280741,1695,78481191,3914078,2021-05-16 18:08:12.796463
NAV,0.47505,4018,34036425,517466,2021-05-16 18:08:12.796463
NULS,0.865683,6484,98208638,69561531,2021-05-16 18:08:12.796463
SWRV,1.59,3583,19776565,7439076,2021-05-16 18:08:12.796463
ARK,1.5,9389,237590745,2679391,2021-05-16 18:08:12.796463
COS,0.0228454,8128,69578171,4738461,2021-05-16 18:08:12.796463
REQ,0.104376,6137,80717317,1457560,2021-05-16 18:08:12.796463
POND,0.135971,13265,102391320,14514262,2021-05-16 18:08:12.796463
WABI,0.380224,7067,22404030,1897517,2021-05-16 18:08:12.796463
ARPA,0.07448448,5603,73078359,26230516,2021-05-16 18:08:12.796463
KMD,2.19,10388,275539204,14824268,2021-05-16 18:08:12.796463
BEL,2.82,6454,88268768,15622705,2021-05-16 18:08:12.796463
ARDR,0.294715,6485,293414313,11181190,2021-05-16 18:08:12.796463
FXS,4.4,3043,50970536,5224330,2021-05-16 18:08:12.796463
DLT,0.145384,1949,11922881,2732929,2021-05-16 18:08:12.796463
MITH,0.07795014,6212,48110769,32767799,2021-05-16 18:08:12.796463
OCEAN,1.05,44967,445812798,72666185,2021-05-16 18:08:12.796463
CTK,2.04,7296,89892586,6780495,2021-05-16 18:08:12.796463
RIF,0.232513,3634,169620941,8103989,2021-05-16 18:08:12.796463
EVX,0.767451,1926,16758205,364929,2021-05-16 18:08:12.796463
AERGO,0.225658,4451,64151141,1264060,2021-05-16 18:08:12.796463
ONG,0.740816,2719,3749110,-1,2021-05-16 18:08:12.796463
DEXE,15.22,4018,48891099,32861096,2021-05-16 18:08:12.796463
GRT,1.24,69770,1517456801,246958323,2021-05-16 18:08:12.796463
FIL,101.56,37322,7263992615,1046857391,2021-05-16 18:08:12.796463
